Sign	آيَة;
Signs	آيَات;
In	فِي;
Daytime	نَهَار;
Night	يْلَة- لَيْل;
That (pointing)	ذَلِكَ;
Sun	شَمْس;
Moon	قَمَر;
Name	اِسْم;
Infinitely Merciful	رَحْمن;
Extremely Merciful	رَحِيم;
With	بِ;
Heavens	سَمَاوَات;
Earth	أَرْض;
Certainly	إِنَّ;
Creation	خَلْق;
The	الْ;
And	وَ;
He – His	هُ-هِ;
(He) created	خَلَقَ;
Dust	تُرَاب;
Certainly	لَ;
From	مِنْ;
You all	كُم;
That	أَنْ;
They think	يَتَفَكَّرُون;
They understand	يَعْقِلُون;
Believers	مُؤْمِنِينَ – مُؤْمِنُونَ;
They believe	يُؤْمِنُون;
That which	مَا;
Languages	أَلْسِنَة;
Colors	أَلْوَان;
People	قَوْم;
Difference	اِخْتِلَاف;
Allah	الله;
For	لِ;
Praise	حَمْد;
Nurturer	رَبّ;
Worlds	عَالَمِين;
In relation to	بِ;
Mankind	نَاس;
Affectionate	رَئُوف;
Seek forgiveness!	اِسْتَغْفِر;
Measured Power	قَدِير;
No	لا;
God	إِلَٰهَ;
Except	إِلَّا;
He	هُوَ;
Almighty	عَزِيز;
All Wise	حَكِيم;
Most forgiving	غَفُور;
the Most High	عَلِيّ;
Supreme	عَظِيم;
All Hearing	سَمِيع;
All Seeing	بَصِير;
Servants	عِبَاد;
All Aware	خَبِير;
All	كُلّ;
Thing	شَيْء;
All Knowing	عَلِيم;
Living	حَيّ;
He was	كَانَ;
The Sustainer	قَيُّوم;
Master	مَالِك;
Day	يَوْم;
Religion	دِين;
Path	صِرَاط;
Straight	مُسْتَقِيم;
Kingdom	مُلْك;
O’	يَا أَيُّهَا – أَيُّهَا – يَا;
Those who	الَّذِينَ;
Believed	آمَنُوا;
Whoever	مَنْ;
He wishes	يَشَاءُ;
He guides	يَهْدِي;
This (Female)	هَٰذِهِ;
This (Male)	هَٰذَا;
He who	الَّذِي;
Worship!	اُعْبُدُوا;
To	إِلَىٰ;
So	فَ;
My / Me	ي;
Hereafter	آخِرَة;
Altogether	جَمِيعًا;
Before	قَبْل;
One	وَاحِد / وَاحِدَة;
Judgment	حُكْم;
Guardian	وَلِيّ;
First	أُولَىٰ;
Peace	سَلَامٌ;
Rise	طُلُوع;
Sunset	غُرُوب;
Messengers	مُرْسَلِين;
Our / Us	نا;
Guidance	هُدَى;
Upon – Over – On	عَلی;
You	إِيَّاكَ-كَ-كِ;
We seek help	نَسْتَعِينُ;
We worship	نَعْبُدُ;
Seek forgiveness!	اِسْتَغْفِرُوا;
Guide!	اِهْدِ;
Repent, Return	تُوبُوا;
Negate Defects	سَبِّحْ;
Brother	اَخُو – اَخی – اَخا – اَخ;
Nation	اُمَّة;
Trustworthy	أَمِين;
Messenger	رَسُول;
Messengers	رُسُل;
Witness	شاهِد;
Shu’ayb (AS)	شُعَیب;
False God	الطَّاغُوت;
Book	کِتَاب;
Noah (AS)	نُوح;
Clear evidences	بَیِّنَات;
They all – Them	هُم;
Obey! (plural)	اَطیعُوا;
When	اِذْ;
Certainly	قَدْ;
With	مَعَ;
But	لکِنَّ – لکِن;
Be God wary!	اِتَّقُوا;
Avoid	اِجتَنِبُوا;
We sent	اَرسَلْنَا;
Warn!	اَنْذِر;
We sent down	اَنْزَلْنَا;
We raised	بَعَثْنَا;
They brought	جَاءُوا بِ;
He said	قَالَ;
He gives authority to	یُسَلِّطُ;
Adam (AS)	آدَم;
Family	آل;
Ibrahim (AS)	إِبْرَاهِيم;
Example	أُسْوَة;
Home	بَيْت;
Good	حَسَنَة;
Wisdom	حِكْمَة;
Imran (AS)	عِمْرَان;
Jesus (AS)	عِيسَى;
Maryam (SA)	مَرْيَمَ;
One who submits	مُسْلِم;
Those who submit	مُسْلِمِینَ / مُسْلِمُونَ;
Musa (AS)	مُوسَىٰ;
Agreement	مِيثَاق;
Prophet	نَبِيّ;
Prophets	نَّبِيِّينَ / نَّبِيُّونَ;
Father	أَبِي – أَب – أَبَا - أَبُو;
Son	اِبْن;
She was / It was	كَانَتْ;
Nearest – most deserving	أَوْلَى;
Monotheist	حَنِيف;
He named	سَمَّىٰ;
Very truthful	صِدِّيق;
Religion	مِلَّة;
Christian	نَصْرَانِيّ;
He was not / He is not	مَا كَانَ;
Jew	يَهُودِيّ;
We gave	آتَيْنَا;
Followed	اِتَّبَعُوا;
We took	أَخَذْنَا;
Remember!	اُذْكُرْ;
He chose	اِصْطَفَىٰ;
Others	آخَرِينَ;
Children	بَنِي;
Other than	دُون;
Authority	سُلْطَانٍ;
Clear	مُبِين;
Everyone	أَجْمَعِينَ;
Israel / Jacob	إِسْرَائِيل;
Prophets	أَنْبِيَاء;
Darkness (Plural)	ظُلُمَات;
Pharaoh	فِرْعَوْنَ;
Kings	مُلُوك;
Blessing	نِعْمَة;
Light	نُور;
Vizier	وَزِير;
Representing guardian	وَكِيل;
Aaron (AS)	هَارُون;
Purified	مُخْلَص;
Both of them	هُما;
Then	ثُمَّ;
Remove! (m.s.)	أَخْرِجْ;
Remember! (m.pl.)	اُذْكُرُوا;
We made to drown	أَغْرَقْنَا;
We saved	أَنْجَيْنَا;
He made / placed	جَعَلَ;
We made / placed	جَعَلْنَا;
Do not take! (m.pl.)	لا تَتَّخِذُوا;
Anyone / One	اَحَد;
Ahmad	اَحْمَد;
After	بَعْدَ;
Truth	حَقّ;
Seal	خَاتَم;
Mercy	رَحْمَة;
Mohammed (SAWS)	مُحَمَّد;
Yaseen	یس;
Bringer of good news	بَشِیر;
Men	رِجال;
Bringer of good news	مُبَشِّراً;
Warner	نَذِیر;
I swear by	وَ;
Certainly Only	اِنَّما;
Certainly that	اَنَّما;
Not / Is not	مَا;
He comes / will come	یَأْتِی;
He gives life	یُحْیِی;
He makes to die	یُمِیتُ;
It is revealed	يُوحَىٰ;
Believe! (m.pl.)	آمِنُوا;
He sent	أَرْسَلَ;
Say! (s.m)	قُل;
