Sign	آيَة;
Signs	آيَات;
In	فِي;
Daytime	نَهَار;
Night	يْلَة- لَيْل;
That (pointing)	ذَلِكَ;
Sun	شَمْس;
Moon	قَمَر;
Name	اِسْم;
Infinitely Merciful	رَحْمن;
Extremely Merciful	رَحِيم;
With	بِ;
Heavens	سَمَاوَات;
Earth	أَرْض;
Certainly	إِنَّ;
Creation	خَلْق;
The	الْ;
And	وَ;
He – His	هُ-هِ;
(He) created	خَلَقَ;
Dust	تُرَاب;
Certainly	لَ;
From	مِنْ;
You all	كُم;
That	أَنْ;
They think	يَتَفَكَّرُون;
They understand	يَعْقِلُون;
Believers	مُؤْمِنِينَ – مُؤْمِنُونَ;
They believe	يُؤْمِنُون;
That which	مَا;
Languages	أَلْسِنَة;
Colors	أَلْوَان;
People	قَوْم;
Difference	اِخْتِلَاف;
Allah	الله;
For	لِ;
