Brother	اَخُو – اَخی – اَخا – اَخ;
Nation	اُمَّة;
Trustworthy	أَمِين;
Messenger	رَسُول;
Messengers	رُسُل;
Witness	شاهِد;
Shu’ayb (AS)	شُعَیب;
False God	الطَّاغُوت;
Book	کِتَاب;
Noah (AS)	نُوح;
Clear evidences	بَیِّنَات;
They all – Them	هُم;
Obey! (plural)	اَطیعُوا;
When	اِذْ;
Certainly	قَدْ;
With	مَعَ;
But	لکِنَّ – لکِن;
Be God wary!	اِتَّقُوا;
Avoid	اِجتَنِبُوا;
We sent	اَرسَلْنَا;
Warn!	اَنْذِر;
We sent down	اَنْزَلْنَا;
We raised	بَعَثْنَا;
They brought	جَاءُوا بِ;
He said	قَالَ;
He gives authority to	یُسَلِّطُ;
