Adam (AS)	آدَم;
Family	آل;
Ibrahim (AS)	إِبْرَاهِيم;
Example	أُسْوَة;
Home	بَيْت;
Good	حَسَنَة;
Wisdom	حِكْمَة;
Imran (AS)	عِمْرَان;
Jesus (AS)	عِيسَى;
Maryam (SA)	مَرْيَمَ;
One who submits	مُسْلِم;
Those who submit	مُسْلِمِینَ / مُسْلِمُونَ;
Musa (AS)	مُوسَىٰ;
Agreement	مِيثَاق;
Prophet	نَبِيّ;
Prophets	نَّبِيِّينَ / نَّبِيُّونَ;
Father	أَبِي – أَب – أَبَا - أَبُو;
Son	اِبْن;
She was / It was	كَانَتْ;
Nearest – most deserving	أَوْلَى;
Monotheist	حَنِيف;
He named	سَمَّىٰ;
Very truthful	صِدِّيق;
Religion	مِلَّة;
Christian	نَصْرَانِيّ;
He was not / He is not	مَا كَانَ;
Jew	يَهُودِيّ;
We gave	آتَيْنَا;
Followed	اِتَّبَعُوا;
We took	أَخَذْنَا;
Remember!	اُذْكُرْ;
He chose	اِصْطَفَىٰ;
