Others	آخَرِينَ;
Children	بَنِي;
Other than	دُون;
Authority	سُلْطَانٍ;
Clear	مُبِين;
Everyone	أَجْمَعِينَ;
Israel / Jacob	إِسْرَائِيل;
Prophets	أَنْبِيَاء;
Darkness (Plural)	ظُلُمَات;
Pharaoh	فِرْعَوْنَ;
Kings	مُلُوك;
Blessing	نِعْمَة;
Light	نُور;
Vizier	وَزِير;
Representing guardian	وَكِيل;
Aaron (AS)	هَارُون;
Purified	مُخْلَص;
Both of them	هُما;
Then	ثُمَّ;
Remove! (m.s.)	أَخْرِجْ;
Remember! (m.pl.)	اُذْكُرُوا;
We made to drown	أَغْرَقْنَا;
We saved	أَنْجَيْنَا;
He made / placed	جَعَلَ;
We made / placed	جَعَلْنَا;
Do not take! (m.pl.)	لا تَتَّخِذُوا;
